Scientific Name,Accession,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Ennomos quercinarius,GCA_910589525.1,Lepidoptera,48,71.64,"Mir-242, Mir-3049, Mir-315, Mir-957, Mir-999",62,92.54,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988"
Danaus plexippus,GCA_018135715.1,Lepidoptera,48,71.64,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-2765, Mir-375, Mir-71, Mir-929, Mir-970, Mir-989"
Psammomys obesus,GCA_002215935.2,Muridae,152,64.41,"Mir-1296, Mir-1307, Mir-1379, Mir-1397, Mir-1416, Mir-1788, Mir-1805, Mir-1842, Mir-1912, Mir-197, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-374, Mir-4057, Mir-4541, Mir-458, Mir-460, Mir-590, Mir-6529, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76, Mir-760, Mir-885, Mir-9851",198,83.9,"Mir-1277, Mir-1301, Mir-1329, Mir-1343, Mir-1388, Mir-1662, Mir-1911, Mir-1955, Mir-1962, Mir-2355, Mir-298, Mir-3072, Mir-3075, Mir-3112, Mir-326, Mir-345, Mir-346, Mir-350, Mir-351, Mir-3613, Mir-383, Mir-432, Mir-448, Mir-452, Mir-456, Mir-489, Mir-504, Mir-505, Mir-511, Mir-540, Mir-541, Mir-574, Mir-628, Mir-667, Mir-671, Mir-672, Mir-674, Mir-676, Mir-700, Mir-71, Mir-722, Mir-737, Mir-769, Mir-872, Mir-877, Mir-879"
Aporia crataegi,GCA_912999735.1,Lepidoptera,46,68.66,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",57,85.07,"Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-92, Mir-929, Mir-932, Mir-970, Mir-988"
Pongo abelii,GCA_002880775.3,Catarrhini,205,83.67,"Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-456, Mir-458, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",219,89.39,"Mir-1329, Mir-1379, Mir-2387, Mir-2483, Mir-325, Mir-3617, Mir-384, Mir-4541, Mir-460, Mir-576, Mir-672, Mir-722, Mir-737, Mir-9851"
Aethina tumida,GCA_024364635.1,Endopterygota,28,43.75,"Mir-124, Mir-137, Mir-153, Mir-184, Mir-190, Mir-193, Mir-1993, Mir-2001, Mir-219, Mir-242, Mir-277, Mir-278, Mir-281, Mir-282, Mir-3, Mir-3049, Mir-306, Mir-31, Mir-315, Mir-317, Mir-34, Mir-36, Mir-375, Mir-67, Mir-7, Mir-71, Mir-750, Mir-87, Mir-92, Mir-932, Mir-965",33,51.56,"Mir-22, Mir-275, Mir-316, Mir-970, Mir-989"
Marmota himalayana,GCA_005280165.1,Glires,173,78.64,"Mir-1307, Mir-1397, Mir-1416, Mir-1662, Mir-1805, Mir-1912, Mir-2001, Mir-21, Mir-2184, Mir-2188, Mir-242, Mir-278, Mir-281, Mir-2970, Mir-31, Mir-315, Mir-456, Mir-458, Mir-460, Mir-671, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-769",194,88.18,"Mir-1329, Mir-1788, Mir-1842, Mir-1911, Mir-197, Mir-2114, Mir-2483, Mir-337, Mir-339, Mir-4057, Mir-452, Mir-4541, Mir-486, Mir-592, Mir-598, Mir-672, Mir-722, Mir-737, Mir-76, Mir-770, Mir-877"
Marasmarcha lunaedactyla,GCA_923062675.1,Lepidoptera,45,67.16,"Mir-12, Mir-219, Mir-22, Mir-242, Mir-3049, Mir-36, Mir-957, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-2765, Mir-3, Mir-306, Mir-315, Mir-316, Mir-76, Mir-929, Mir-932, Mir-965, Mir-970, Mir-988"
Noctua janthe,GCA_910589295.1,Lepidoptera,47,70.15,"Mir-219, Mir-242, Mir-3049, Mir-999",63,94.03,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988"
Habropoda laboriosa,GCA_001263275.1,Endopterygota,46,71.88,"Mir-153, Mir-22, Mir-242, Mir-36, Mir-965, Mir-970",58,90.62,"Mir-1000, Mir-14, Mir-1993, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-971, Mir-989"
Mus minutoides,GCA_902729475.1,Muridae,173,73.31,"Mir-1296, Mir-1301, Mir-1307, Mir-1343, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1805, Mir-1842, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-3112, Mir-315, Mir-4057, Mir-4541, Mir-458, Mir-460, Mir-628, Mir-6529, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-76, Mir-769, Mir-885, Mir-9851",197,83.47,"Mir-1271, Mir-1277, Mir-1329, Mir-1388, Mir-1788, Mir-1911, Mir-197, Mir-2355, Mir-3072, Mir-351, Mir-3613, Mir-432, Mir-456, Mir-493, Mir-504, Mir-505, Mir-590, Mir-667, Mir-7180, Mir-737, Mir-744, Mir-873, Mir-876, Mir-877"
Atethmia centrago,GCA_905332945.1,Lepidoptera,46,68.66,"Mir-242, Mir-3049, Mir-315, Mir-34",63,94.03,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-219, Mir-2765, Mir-277, Mir-306, Mir-316, Mir-36, Mir-375, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Toxotes jaculatrix,GCA_017976425.1,Clupeocephala,99,86.84,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4057",105,92.11,"Mir-147, Mir-4541, Mir-71, Mir-729, Mir-76, Mir-875"
Zygaena filipendulae,GCA_907165275.2,Lepidoptera,44,65.67,"Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315",61,91.04,"Mir-1000, Mir-12, Mir-14, Mir-193, Mir-22, Mir-2765, Mir-2796, Mir-3, Mir-306, Mir-36, Mir-929, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Erebia aethiops,GCA_923062935.2,Lepidoptera,46,68.66,"Iab-4, Mir-10, Mir-12, Mir-242, Mir-3049, Mir-375, Mir-71, Mir-957",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Melinaea marsaeus rileyi,GCA_918358865.1,Lepidoptera,47,70.15,"Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957",62,92.54,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-375, Mir-71, Mir-929, Mir-932, Mir-970, Mir-989, Mir-999"
Melitaea cinxia,GCA_905220565.1,Lepidoptera,51,76.12,"Mir-153, Mir-219, Mir-242, Mir-3049, Mir-306, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",57,85.07,"Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-2765, Mir-970"
Thymelicus sylvestris,GCA_911387695.1,Lepidoptera,44,65.67,"Mir-153, Mir-1993, Mir-219, Mir-242, Mir-275, Mir-3049, Mir-305, Mir-315, Mir-36, Mir-375, Mir-87, Mir-957, Mir-999",54,80.6,"Mir-1000, Mir-12, Mir-14, Mir-22, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-971, Mir-988"
Homo sapiens,GCA_018466835.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Vespula germanica,GCA_905340365.1,Endopterygota,42,65.62,"Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-87, Mir-970",56,87.5,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-375, Mir-927, Mir-929, Mir-932, Mir-971, Mir-989"
Tenthredo notha,GCA_914767705.1,Endopterygota,45,70.31,"Mir-1993, Mir-242, Mir-36, Mir-375, Mir-970",59,92.19,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Scaeva pyrastri,GCA_905146935.1,Diptera,50,74.63,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",58,86.57,"Mir-1000, Mir-275, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Pollenia amentaria,GCA_943735935.1,Diptera,45,67.16,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-29, Mir-3049, Mir-36, Mir-71, Mir-750",57,85.07,"Mir-1000, Mir-1175, Mir-2001, Mir-275, Mir-306, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-988, Mir-999"
Melanostoma mellinum,GCA_914767635.1,Diptera,51,76.12,"Mir-153, Mir-1993, Mir-2765, Mir-2796, Mir-3049, Mir-71, Mir-750",60,89.55,"Mir-2001, Mir-242, Mir-275, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Noctua pronuba,GCA_905220345.1,Lepidoptera,46,68.66,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-957, Mir-999",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-71, Mir-932, Mir-970, Mir-988"
Hylobates moloch,GCA_009828535.3,Catarrhini,197,80.41,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2355, Mir-2387, Mir-242, Mir-2483, Mir-3146, Mir-325, Mir-350, Mir-3617, Mir-384, Mir-4541, Mir-4677, Mir-550, Mir-576, Mir-577, Mir-579, Mir-605, Mir-624, Mir-672, Mir-722, Mir-737, Mir-944"
Sesia apiformis,GCA_914767725.1,Lepidoptera,44,65.67,"Mir-12, Mir-1993, Mir-242, Mir-275, Mir-3, Mir-3049, Mir-31, Mir-315, Mir-36, Mir-750, Mir-76, Mir-957, Mir-999",54,80.6,"Mir-1000, Mir-1175, Mir-14, Mir-153, Mir-219, Mir-22, Mir-2765, Mir-305, Mir-932, Mir-970"
Stomorhina lunata,GCA_933228635.1,Diptera,41,61.19,"Mir-153, Mir-242, Mir-2765, Mir-3049, Mir-750, Mir-971",61,91.04,"Mir-1175, Mir-14, Mir-193, Mir-1993, Mir-2001, Mir-275, Mir-2796, Mir-29, Mir-3, Mir-306, Mir-36, Mir-71, Mir-87, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-989, Mir-999"
Dermatophagoides pteronyssinus,GCA_001901225.2,Chelicerata,12,23.53,"Bantam, Let-7, Mir-1175, Mir-12, Mir-133, Mir-137, Mir-153, Mir-193, Mir-1993, Mir-210, Mir-216, Mir-219, Mir-22, Mir-242, Mir-275, Mir-276, Mir-277, Mir-278, Mir-279, Mir-281, Mir-31, Mir-315, Mir-33, Mir-36, Mir-5305, Mir-750, Mir-87",24,47.06,"Iab-4, Mir-2001, Mir-29, Mir-305, Mir-34, Mir-3931, Mir-5735, Mir-67, Mir-7, Mir-76, Mir-8, Mir-92"
Bufo bufo,GCA_905171765.1,Amphibia,90,80.36,"Mir-147, Mir-252, Mir-278, Mir-315, Mir-599",107,95.54,"Mir-1329, Mir-139, Mir-187, Mir-2001, Mir-2188, Mir-242, Mir-281, Mir-4057, Mir-451, Mir-4541, Mir-458, Mir-71, Mir-722, Mir-727, Mir-737, Mir-76, Mir-875"
Leistus spinibarbis,GCA_933228875.1,Endopterygota,40,62.5,"Let-7, Mir-124, Mir-137, Mir-153, Mir-193, Mir-1993, Mir-242, Mir-3049, Mir-306, Mir-315, Mir-316, Mir-36, Mir-375, Mir-929, Mir-932",49,76.56,"Mir-14, Mir-2001, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-965, Mir-970, Mir-989"
Ochlodes sylvanus,GCA_905404295.1,Lepidoptera,44,65.67,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-375, Mir-957",59,88.06,"Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-306, Mir-929, Mir-932, Mir-970, Mir-971, Mir-988, Mir-989, Mir-999"
Saccoglossus kowalevskii,GCA_000003605.1,Enteropneusta,48,92.31,"Mir-2009, Mir-216, Mir-76",49,94.23,Mir-22
Ecliptopera silaceata,GCA_932527185.1,Lepidoptera,45,67.16,"Mir-12, Mir-3049, Mir-315, Mir-36, Mir-999",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-3, Mir-306, Mir-375, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988"
Coremacera marginata,GCA_914767935.1,Diptera,47,70.15,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71, Mir-750",58,86.57,"Mir-1175, Mir-14, Mir-193, Mir-2001, Mir-22, Mir-3, Mir-87, Mir-957, Mir-970, Mir-971, Mir-999"
Lytechinus variegatus,GCA_018143015.1,Eleutherozoa,34,79.07,"Mir-190, Mir-216, Mir-22, Mir-281, Mir-315",38,88.37,"Mir-2006, Mir-2007, Mir-2011, Mir-2012"
Lepeophtheirus salmonis,GCA_016086655.3,Pancrustacea,26,49.06,"Mir-1, Mir-12, Mir-193, Mir-1993, Mir-2001, Mir-219, Mir-242, Mir-275, Mir-2765, Mir-278, Mir-282, Mir-29, Mir-305, Mir-315, Mir-316, Mir-317, Mir-36, Mir-375",35,66.04,"Iab-4, Mir-124, Mir-153, Mir-216, Mir-22, Mir-3, Mir-31, Mir-7, Mir-965"
Campaea margaritaria,GCA_912999775.1,Lepidoptera,48,71.64,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-929, Mir-932, Mir-970"
Coccinella septempunctata,GCA_907165185.1,Endopterygota,46,71.88,"Mir-1993, Mir-2001, Mir-242, Mir-275, Mir-278",59,92.19,"Mir-12, Mir-153, Mir-22, Mir-2765, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-36, Mir-750, Mir-965, Mir-970, Mir-989"
Lycaena phlaeas,GCA_905333005.1,Lepidoptera,49,73.13,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-957, Mir-970, Mir-988, Mir-999"
Bellardia pandia,GCA_916050155.1,Diptera,43,64.18,"Mir-153, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-7, Mir-71, Mir-750, Mir-971",57,85.07,"Mir-1175, Mir-14, Mir-193, Mir-1993, Mir-2001, Mir-275, Mir-29, Mir-306, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Rattus norvegicus,GCA_023515785.1,Muridae,181,76.69,"Mir-1296, Mir-1307, Mir-1329, Mir-1343, Mir-1379, Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-1911, Mir-197, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-3613, Mir-4057, Mir-432, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-599, Mir-6529, Mir-71, Mir-7147, Mir-7180, Mir-722, Mir-725, Mir-727, Mir-737, Mir-76, Mir-769, Mir-885, Mir-9851",190,80.51,"Mir-1277, Mir-1301, Mir-1962, Mir-2355, Mir-351, Mir-491, Mir-590, Mir-628, Mir-726"
Takifugu rubripes,GCA_901000725.2,Clupeocephala,94,82.46,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4541, Mir-456, Mir-551, Mir-71, Mir-729, Mir-76, Mir-875",99,86.84,"Mir-147, Mir-31, Mir-4057, Mir-425, Mir-451"
Homo sapiens,GCA_018469935.1,Catarrhini,207,84.49,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",220,89.8,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-378, Mir-384, Mir-458, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Miltochrista miniata,GCA_933228765.1,Lepidoptera,48,71.64,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-988, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-929, Mir-932, Mir-957, Mir-970"
Nomascus leucogenys,GCA_006542625.1,Catarrhini,193,78.78,"Mir-1388, Mir-1397, Mir-150, Mir-1662, Mir-1788, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",220,89.8,"Mir-1271, Mir-1329, Mir-1343, Mir-1379, Mir-1416, Mir-1805, Mir-2355, Mir-2387, Mir-242, Mir-2483, Mir-3146, Mir-350, Mir-3617, Mir-384, Mir-4541, Mir-4677, Mir-550, Mir-576, Mir-577, Mir-579, Mir-624, Mir-642, Mir-672, Mir-676, Mir-722, Mir-887, Mir-944"
Endotricha flammealis,GCA_905160925.1,Lepidoptera,49,73.13,"Mir-12, Mir-219, Mir-3049, Mir-315, Mir-36, Mir-957",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-22, Mir-242, Mir-2765, Mir-71, Mir-932, Mir-970, Mir-988, Mir-999"
Diabrotica virgifera virgifera,GCA_917563875.2,Endopterygota,47,73.44,"Mir-12, Mir-153, Mir-1993, Mir-242, Mir-278, Mir-306, Mir-36",57,89.06,"Mir-14, Mir-2001, Mir-22, Mir-275, Mir-3, Mir-3049, Mir-316, Mir-965, Mir-970, Mir-989"
Stylophora pistillata,GCA_002571385.1,Cnidaria,1,33.33,,3,100.0,"Mir-2022, Mir-2030"
Brassicogethes aeneus,GCA_921294245.1,Endopterygota,47,73.44,Mir-278,63,98.44,"Mir-14, Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-275, Mir-2765, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-36, Mir-750, Mir-965, Mir-970, Mir-989"
Notodonta ziczac,GCA_918843885.1,Lepidoptera,46,68.66,"Mir-12, Mir-153, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-375, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988"
Agriotes lineatus,GCA_940337035.1,Endopterygota,49,76.56,"Mir-2001, Mir-22, Mir-242, Mir-2765, Mir-278, Mir-3049, Mir-306, Mir-315",56,87.5,"Mir-14, Mir-153, Mir-275, Mir-277, Mir-932, Mir-970, Mir-989"
Nymphalis urticae,GCA_905147175.2,Lepidoptera,50,74.63,"Mir-12, Mir-153, Mir-219, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",58,86.57,"Mir-1000, Mir-14, Mir-1993, Mir-22, Mir-242, Mir-2765, Mir-929, Mir-988"
Zalophus californianus,GCA_009762305.1,Laurasiatheria,177,81.57,"Mir-1329, Mir-1379, Mir-1397, Mir-1662, Mir-1788, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",188,86.64,"Mir-1416, Mir-1805, Mir-2114, Mir-2355, Mir-448, Mir-582, Mir-598, Mir-672, Mir-722, Mir-769, Mir-9851"
Lymantria monacha,GCA_905163525.1,Lepidoptera,51,76.12,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-36, Mir-957, Mir-988, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-932"
Eudyptes sclateri,GCA_010078445.1,Neognathae,104,81.25,"Mir-132, Mir-144, Mir-150, Mir-2001, Mir-208, Mir-2184, Mir-219, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-451, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-76",107,83.59,"Mir-1467, Mir-2131, Mir-727"
Callorhinus ursinus,GCA_003265705.1,Laurasiatheria,175,80.65,"Mir-1329, Mir-1397, Mir-1662, Mir-1788, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-7180, Mir-725, Mir-726, Mir-727, Mir-76",190,87.56,"Mir-1379, Mir-1416, Mir-1805, Mir-2114, Mir-2355, Mir-2483, Mir-448, Mir-452, Mir-582, Mir-598, Mir-672, Mir-722, Mir-737, Mir-769, Mir-9851"
Pieris napi,GCA_905231895.1,Lepidoptera,47,70.15,"Mir-12, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-988",57,85.07,"Mir-1000, Mir-14, Mir-22, Mir-2765, Mir-306, Mir-375, Mir-929, Mir-932, Mir-970, Mir-999"
Tyto alba alba,GCA_902150015.1,Neognathae,101,78.91,"Mir-132, Mir-140, Mir-150, Mir-2001, Mir-208, Mir-210, Mir-2184, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-76",106,82.81,"Mir-1467, Mir-203, Mir-2131, Mir-2984, Mir-737"
Syritta pipiens,GCA_905187475.1,Diptera,47,70.15,"Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-36, Mir-71",59,88.06,"Mir-1175, Mir-193, Mir-2001, Mir-3, Mir-316, Mir-750, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Pieris rapae,GCA_905147795.1,Lepidoptera,47,70.15,"Mir-12, Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-988, Mir-999",57,85.07,"Mir-1000, Mir-14, Mir-219, Mir-2765, Mir-306, Mir-375, Mir-929, Mir-932, Mir-970, Mir-989"
Bombus pratorum,GCA_930367225.1,Endopterygota,44,68.75,"Mir-1175, Mir-153, Mir-1993, Mir-242, Mir-36, Mir-750, Mir-970",57,89.06,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Agonopterix subpropinquella,GCA_922987765.1,Lepidoptera,47,70.15,"Mir-12, Mir-242, Mir-3049, Mir-36, Mir-999",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-932, Mir-957, Mir-970, Mir-971, Mir-988"
Homo sapiens,GCA_018471515.1,Catarrhini,208,84.9,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-4541, Mir-456, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-76",221,90.2,"Mir-1329, Mir-1379, Mir-1416, Mir-2387, Mir-2483, Mir-384, Mir-458, Mir-460, Mir-672, Mir-71, Mir-7180, Mir-722, Mir-737"
Buathra laborator,GCA_934046635.1,Endopterygota,41,64.06,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,90.62,"Mir-1000, Mir-124, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-278, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-67, Mir-929, Mir-932, Mir-965, Mir-971"
Balaenoptera musculus,GCA_009873245.3,Laurasiatheria,172,79.26,"Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-726, Mir-727, Mir-76",191,88.02,"Mir-1301, Mir-1307, Mir-1329, Mir-1379, Mir-1911, Mir-2355, Mir-2970, Mir-330, Mir-339, Mir-350, Mir-541, Mir-592, Mir-653, Mir-671, Mir-672, Mir-722, Mir-725, Mir-737, Mir-744"
Hermetia illucens,GCA_905115235.1,Diptera,48,71.64,"Mir-153, Mir-1993, Mir-242, Mir-3049, Mir-36, Mir-375, Mir-71, Mir-750",59,88.06,"Mir-1175, Mir-22, Mir-2765, Mir-2796, Mir-306, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Papilio machaon,GCA_912999765.2,Lepidoptera,45,67.16,"Mir-12, Mir-153, Mir-1993, Mir-2, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-71, Mir-957, Mir-999",55,82.09,"Mir-1000, Mir-14, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-375, Mir-932, Mir-970, Mir-989"
